virus_id	accession_id	collection_date	country	pangolin_lineage
OEAV148044	EPI_ISL_422863	2020-03-09	Netherlands	B.1.8
OEAV178768	EPI_ISL_457826	2020-03-08	Italy	B.1
OEAV147788	EPI_ISL_422661	2020-03-10	Netherlands	B.11
OEAV160501	EPI_ISL_440249	2020-03-03	United Kingdom	B.1
OEAV151164	EPI_ISL_420903	2020-03-14	Germany	B.40
OEAV166839	EPI_ISL_438233	2020-03-08	USA	B.1
OEAV227561	EPI_ISL_499816	2020-03-12	United Kingdom	B.23
OEAV166807	EPI_ISL_444568	2020-03-17	USA	A.4
OEAV185698	EPI_ISL_464803	2020-03-11	United Kingdom	B.1
OEAV149474	EPI_ISL_421633	2020-03-18	USA	B
OEAV142883	EPI_ISL_415534	2020-03-11	Netherlands	B.1
OEAV164537	EPI_ISL_440551	2020-03-11	United Kingdom	B.1.1.323
OEAV185235	EPI_ISL_464340	2020-03-03	United Kingdom	B.1.1
OEAV150538	EPI_ISL_418121	2020-03-13	United Kingdom	B.3.1
OEAV155788	EPI_ISL_436221	2020-03-14	Spain	A.2
OEAV177500	EPI_ISL_455912	2020-03-11	Thailand	A.6
OEAV142890	EPI_ISL_414949	2020-02-26	United Kingdom	B.1
OEAV149684	EPI_ISL_418964	2020-03-14	USA	B.1.166
OEAV000313	EPI_ISL_413862	2020-02-01	China	A
OEAV149640	EPI_ISL_424887	2020-03-05	USA	B.1
OEAV143065	EPI_ISL_416465	2020-02-29	USA	A.1
OEAV152371	EPI_ISL_427608	2020-03-16	USA	B.1
OEAV185347	EPI_ISL_464452	2020-03-03	United Kingdom	B.1.1
OEAV177016	EPI_ISL_455587	2020-03-13	Thailand	A.6
OEAV185239	EPI_ISL_464344	2020-03-04	United Kingdom	B.1
OEAV187974	EPI_ISL_464112	2020-03-17	South Africa	B.1.8
OEAV185836	EPI_ISL_464941	2020-03-12	United Kingdom	B.40
OEAV160570	EPI_ISL_440148	2020-03-18	United Kingdom	B.40
OEAV142448	EPI_ISL_414529	2020-03-04	Netherlands	B
OEAV186069	EPI_ISL_465730	2020-03-15	United Kingdom	B.40
OEAV000248	EPI_ISL_403929	2019-12-30	China	B
OEAV164540	EPI_ISL_440516	2020-03-12	United Kingdom	B.58
OEAV150248	EPI_ISL_418061	2020-03-13	USA	A.1
OEAV143082	EPI_ISL_416647	2020-03-11	USA	B.1.371
OEAV000006	EPI_ISL_407894	2020-01-28	Australia	A
OEAV185941	EPI_ISL_465046	2020-03-12	United Kingdom	B.1.1
OEAV152055	EPI_ISL_427811	2020-02-18	South Korea	B.41
OEAV235928	EPI_ISL_510204	2020-03-17	Spain	B.1
OEAV144282	EPI_ISL_417297	2020-03-06	United Kingdom	B.1.1
OEAV199637	EPI_ISL_479895	2020-03-16	Japan	B.1.1
OEAV153183	EPI_ISL_429387	2020-03-09	Denmark	B.1
OEAV202177	EPI_ISL_482992	2020-03-12	USA	A.1
OEAV185394	EPI_ISL_464499	2020-03-04	United Kingdom	B.1
OEAV192244	EPI_ISL_475874	2020-03-16	Austria	B.1
OEAV167692	EPI_ISL_447414	2020-03-17	Israel	B.1.115
OEAV155739	EPI_ISL_428704	2020-03-11	Spain	A.5
OEAV159808	EPI_ISL_438045	2020-03-15	Austria	B.1.1
OEAV176055	EPI_ISL_452299	2020-03-16	USA	B.1
OEAV185426	EPI_ISL_464531	2020-03-04	United Kingdom	B.27
OEAV000314	EPI_ISL_413863	2020-02-01	China	B
OEAV156107	EPI_ISL_429210	2020-03-16	Switzerland	B.1
OEAV156021	EPI_ISL_430848	2020-03-11	Sweden	B.3
OEAV15087676	EPI_ISL_428976	2020-03-11	Russia	B.1.1
OEAV168115	EPI_ISL_447191	2020-03-15	USA	B.1
OEAV172868	EPI_ISL_451343	2020-01-30	China	B
OEAV188301	EPI_ISL_466964	2020-03-11	Switzerland	B.1
OEAV148885	EPI_ISL_418277	2020-03-03	Switzerland	B.1.1
OEAV148817	EPI_ISL_420123	2020-03-09	Spain	A.2
OEAV146795	EPI_ISL_425124	2020-03-17	Germany	B.1
OEAV175085	EPI_ISL_454047	2020-03-16	Portugal	B.1.1
OEAV157484	EPI_ISL_430169	2020-03-13	USA	A.1
OEAV189402	EPI_ISL_468582	2020-03-12	USA	B.1.586
OEAV155024	EPI_ISL_428879	2020-03-19	Russia	B.1
OEAV143785	EPI_ISL_417424	2020-03-04	Belgium	B.1
OEAV143034	EPI_ISL_415698	2020-02-27	Switzerland	B.1.1
OEAV142906	EPI_ISL_415635	2020-03-09	United Kingdom	B.1.1
OEAV143437	EPI_ISL_419864	2020-03-18	Australia	B.1.320
OEAV187754	EPI_ISL_464277	2020-03-02	United Kingdom	B.40
OEAV159689	EPI_ISL_437921	2020-03-12	Austria	B.1
OEAV144007	EPI_ISL_418863	2020-03-05	Belgium	B.1.1
OEAV188280	EPI_ISL_466943	2020-03-09	Switzerland	B.1.1
OEAV152321	EPI_ISL_427558	2020-03-15	USA	B.1
OEAV173972	EPI_ISL_452112	2020-03-10	USA	B.1.37
OEAV199660	EPI_ISL_479917	2020-03-04	Japan	A
OEAV000126	EPI_ISL_408666	2020-01-31	Japan	A
OEAV153139	EPI_ISL_429343	2020-03-09	Denmark	B.1
OEAV185499	EPI_ISL_464604	2020-03-07	United Kingdom	B.1.1
OEAV188140	EPI_ISL_467090	2020-03-12	Canary Islands	B.1.1
OEAV176364	EPI_ISL_454487	2020-03-09	Sweden	B.1
OEAV144512	EPI_ISL_420469	2020-03-18	United Kingdom	B.55
OEAV185896	EPI_ISL_465001	2020-03-12	United Kingdom	B.1
OEAV228563	EPI_ISL_500503	2020-03-18	USA	B.1.319
OEAV148034	EPI_ISL_422853	2020-03-18	Netherlands	B.1.8
OEAV177140	EPI_ISL_455380	2020-03-12	China	B
OEAV146235	EPI_ISL_425474	2020-03-14	United Kingdom	B.11
OEAV150579	EPI_ISL_418160	2020-03-16	United Kingdom	B.3.1
OEAV148778	EPI_ISL_417975	2020-03-09	Spain	B
OEAV173570	EPI_ISL_451693	2020-03-14	Switzerland	B.1
OEAV188075	EPI_ISL_467119	2020-03-16	Spain	B
OEAV156158	EPI_ISL_434705	2020-03-16	Thailand	A.6
OEAV176819	EPI_ISL_454752	2020-02-28	Netherlands	B.11
OEAV188307	EPI_ISL_466970	2020-03-11	Switzerland	B.1
OEAV175585	EPI_ISL_452782	2020-03-06	Spain	A.2
OEAV146973	EPI_ISL_417800	2020-03-02	Iceland	B.1.1
OEAV142754	EPI_ISL_416569	2020-02-15	Japan	B
OEAV185559	EPI_ISL_464664	2020-03-09	United Kingdom	B.39
OEAV172849	EPI_ISL_451324	2020-02-02	China	B
OEAV236102	EPI_ISL_510956	2020-03-14	Portugal	B.1.1
OEAV159292	EPI_ISL_436741	2020-03-18	USA	B.1.332
OEAV177540	EPI_ISL_455607	2020-03-13	Thailand	A.6
OEAV142444	EPI_ISL_414587	2020-03-03	Ireland	B.1
OEAV173605	EPI_ISL_451728	2020-03-16	Switzerland	B.1
OEAV193801	EPI_ISL_475013	2020-03-15	Israel	B.1.1
OEAV142902	EPI_ISL_415629	2020-03-04	United Kingdom	B.1
OEAV183373	EPI_ISL_460398	2020-03-11	USA	B.1
OEAV161916	EPI_ISL_440308	2020-03-18	United Kingdom	B.40
OEAV147805	EPI_ISL_422678	2020-03-11	Netherlands	B.1.8
OEAV185922	EPI_ISL_465027	2020-03-13	United Kingdom	B.1.1
OEAV166815	EPI_ISL_444575	2020-03-19	USA	B
OEAV155009	EPI_ISL_428866	2020-03-11	Russia	B.1.1
OEAV175658	EPI_ISL_452709	2020-03-10	Spain	A.2
OEAV207014	EPI_ISL_489836	2020-03-06	Peru	B.1.205
OEAV143723	EPI_ISL_420354	2020-03-05	Belgium	B.1.1
OEAV157607	EPI_ISL_430293	2020-03-08	USA	A.1
OEAV142394	EPI_ISL_414631	2020-03-04	France	B.1
OEAV185807	EPI_ISL_464912	2020-03-12	United Kingdom	B.40
OEAV231332	EPI_ISL_507729	2020-03-14	USA	B.1
OEAV142884	EPI_ISL_415535	2020-03-12	Netherlands	B.1.8
OEAV175591	EPI_ISL_452776	2020-03-04	Spain	A.2
OEAV144474	EPI_ISL_423914	2020-03-18	United Kingdom	B.40
OEAV176939	EPI_ISL_455328	2020-03-09	Spain	A.2
OEAV153177	EPI_ISL_429381	2020-03-09	Denmark	B.1
OEAV188120	EPI_ISL_467073	2020-03-16	Spain	B.1
OEAV149284	EPI_ISL_419704	2020-03-18	USA	B.1
OEAV185530	EPI_ISL_464635	2020-03-07	United Kingdom	B
OEAV147658	EPI_ISL_419569	2020-03-07	Luxembourg	B
OEAV187696	EPI_ISL_464219	2020-02-28	United Kingdom	B.1
OEAV000309	EPI_ISL_413858	2020-01-30	China	A
OEAV185344	EPI_ISL_464449	2020-03-05	United Kingdom	B.1
OEAV200572	EPI_ISL_480971	2020-03-14	Spain	B.1
OEAV142575	EPI_ISL_415153	2020-03-03	Belgium	B.1
OEAV149137	EPI_ISL_417470	2020-03-12	USA	B.1
OEAV156131	EPI_ISL_429169	2020-03-17	Thailand	B.1.1
OEAV188316	EPI_ISL_466979	2020-03-12	Switzerland	B.1
OEAV185747	EPI_ISL_464852	2020-03-12	United Kingdom	B
OEAV153131	EPI_ISL_429335	2020-03-02	Denmark	B.4
OEAV200607	EPI_ISL_481011	2020-03-18	Spain	B.1.1
OEAV156474	EPI_ISL_428371	2020-03-18	USA	B.1
OEAV147067	EPI_ISL_417562	2020-03-17	Iceland	B.1
OEAV152116	EPI_ISL_427393	2020-03-15	Taiwan	B
OEAV146784	EPI_ISL_419546	2020-03-15	Germany	B.1
OEAV175105	EPI_ISL_454067	2020-03-18	Portugal	B.1.91
OEAV172922	EPI_ISL_451397	2020-01-31	China	B
OEAV148807	EPI_ISL_420113	2020-03-09	Spain	A.2
OEAV172240	EPI_ISL_450128	2020-03-19	USA	B.1
OEAV148729	EPI_ISL_417879	2020-03-06	Slovakia	B.1
OEAV000144	EPI_ISL_412972	2020-02-27	Mexico	B.1.1
OEAV158074	EPI_ISL_428263	2020-03-18	USA	A.1
OEAV227908	EPI_ISL_499460	2020-03-16	United Kingdom	B.1
OEAV147013	EPI_ISL_417815	2020-03-16	Iceland	B.1.1
OEAV188087	EPI_ISL_467180	2020-03-14	Spain	A.2
OEAV172959	EPI_ISL_451302	2020-01-30	Italy	B
OEAV177930	EPI_ISL_456123	2020-03-12	Colombia	A.1
OEAV199678	EPI_ISL_479935	2020-03-18	Japan	B.1.1
OEAV149678	EPI_ISL_417960	2020-03-12	USA	A.1
OEAV148402	EPI_ISL_425762	2020-03-13	United Kingdom	B.45
OEAV188691	EPI_ISL_467914	2020-03-13	USA	B.1
OEAV000021	EPI_ISL_413015	2020-01-23	Canada	B
OEAV152394	EPI_ISL_427538	2020-03-13	USA	B.1
OEAV144051	EPI_ISL_418836	2020-03-10	Canada	B.1
OEAV176828	EPI_ISL_454755	2020-03-03	Netherlands	B.4
OEAV233873	EPI_ISL_508615	2020-03-18	Spain	B.1.566
OEAV173578	EPI_ISL_451701	2020-03-16	Switzerland	B.1
OEAV146794	EPI_ISL_425123	2020-03-17	Germany	A.5
OEAV164505	EPI_ISL_440491	2020-03-06	United Kingdom	B.1.1.257
OEAV147993	EPI_ISL_422812	2020-03-14	Netherlands	B.1.1
OEAV15087926	EPI_ISL_428985	2020-03-16	Russia	B.1
OEAV147697	EPI_ISL_419592	2020-03-15	Luxembourg	B.1
OEAV159734	EPI_ISL_437966	2020-03-18	Austria	B.1.8
OEAV152886	EPI_ISL_430737	2020-02-25	China	A
OEAV153073	EPI_ISL_429276	2020-03-10	Denmark	B.1
OEAV142763	EPI_ISL_416578	2020-02-15	Japan	B
OEAV227895	EPI_ISL_499737	2020-03-15	United Kingdom	B.1.1
OEAV192233	EPI_ISL_475863	2020-03-16	Austria	B.1
OEAV150213	EPI_ISL_417451	2020-03-14	USA	B.1.371
OEAV176361	EPI_ISL_454484	2020-03-09	Sweden	B.1
OEAV224831	EPI_ISL_498012	2020-03-12	South Korea	B.41
OEAV195195	EPI_ISL_476928	2020-03-13	USA	B.1.371
OEAV185763	EPI_ISL_464868	2020-03-12	United Kingdom	B.40
OEAV150235	EPI_ISL_418047	2020-03-16	USA	A.1
OEAV234179	EPI_ISL_509700	2020-03-18	Guatemala	B.1
OEAV185683	EPI_ISL_464788	2020-03-10	United Kingdom	B
OEAV142936	EPI_ISL_416333	2020-01-30	China	A
OEAV185299	EPI_ISL_464404	2020-03-04	United Kingdom	B.58
OEAV185831	EPI_ISL_464936	2020-03-11	United Kingdom	B.1
OEAV153197	EPI_ISL_429401	2020-03-09	Denmark	B.3
OEAV177133	EPI_ISL_455377	2020-03-03	China	B
OEAV153178	EPI_ISL_429382	2020-03-09	Denmark	B.1
OEAV199649	EPI_ISL_479906	2020-03-11	Japan	A
OEAV000136	EPI_ISL_412869	2020-01-30	South Korea	A
OEAV175642	EPI_ISL_452725	2020-03-06	Spain	A.2
OEAV226071	EPI_ISL_498176	2020-03-16	Vietnam	B.1
OEAV175906	EPI_ISL_452460	2020-03-13	Spain	B.1
OEAV143184	EPI_ISL_415620	2020-03-09	USA	A.1
OEAV152028	EPI_ISL_427299	2020-03-05	Brazil	A.2
OEAV146846	EPI_ISL_421236	2020-01-20	China	B
OEAV158305	EPI_ISL_435316	2020-03-17	Vietnam	B.40
OEAV147782	EPI_ISL_422655	2020-03-18	Netherlands	B.1
OEAV149736	EPI_ISL_419710	2020-03-12	USA	B.1.37
OEAV144519	EPI_ISL_420476	2020-03-18	United Kingdom	B.1.1
OEAV175619	EPI_ISL_452748	2020-03-07	Spain	A.2
OEAV147685	EPI_ISL_417528	2020-03-18	Luxembourg	B
OEAV146806	EPI_ISL_425133	2020-03-10	Germany	B.1
OEAV159901	EPI_ISL_437635	2020-03-18	Denmark	B.1.179
OEAV194682	EPI_ISL_475131	2020-03-12	Sweden	B.1
OEAV000199	EPI_ISL_413023	2020-02-29	Switzerland	B.1.1
OEAV149322	EPI_ISL_421579	2020-03-18	USA	B.1
OEAV142616	EPI_ISL_415130	2020-03-01	United Kingdom	B
OEAV185567	EPI_ISL_464672	2020-03-09	United Kingdom	B.1.91
OEAV167198	EPI_ISL_445332	2020-03-11	Chile	B.1
OEAV159796	EPI_ISL_438033	2020-03-13	Austria	B.3
OEAV177159	EPI_ISL_454955	2020-03-01	China	B
OEAV142863	EPI_ISL_415514	2020-03-11	Netherlands	B.1.1
OEAV147556	EPI_ISL_418584	2020-03-10	Ireland	B.1.1
OEAV156425	EPI_ISL_435663	2020-03-16	USA	B.6
OEAV189478	EPI_ISL_468744	2020-03-17	Belgium	B.1.1.75
OEAV227927	EPI_ISL_499607	2020-03-15	United Kingdom	B
OEAV197427	EPI_ISL_477694	2020-03-19	USA	A.1
OEAV167258	EPI_ISL_445313	2020-03-17	Chile	B.1
OEAV153065	EPI_ISL_429268	2020-03-10	Denmark	B.1
OEAV185247	EPI_ISL_464352	2020-03-04	United Kingdom	B.1.76
OEAV179588	EPI_ISL_458139	2020-03-18	Brazil	B.1.1.33
OEAV176925	EPI_ISL_455314	2020-02-28	Spain	B
OEAV21083178	EPI_ISL_17332713	2020-03-18	USA	B
OEAV236193	EPI_ISL_511047	2020-03-17	Portugal	B.1.1
OEAV230752	EPI_ISL_506962	2020-03-09	South Korea	A
OEAV188388	EPI_ISL_467611	2020-03-17	USA	B.1
OEAV151173	EPI_ISL_419210	2020-03-01	Israel	B.1.1
OEAV151219	EPI_ISL_426363	2020-03-12	Mexico	A.1
OEAV172845	EPI_ISL_451320	2020-01-27	China	B
OEAV177090	EPI_ISL_454910	2020-03-02	China	B
OEAV185564	EPI_ISL_464669	2020-03-09	United Kingdom	B
OEAV159974	EPI_ISL_437904	2020-03-10	Greece	B.1
OEAV235554	EPI_ISL_510272	2020-03-14	Spain	B.1
OEAV149186	EPI_ISL_421585	2020-03-18	USA	B.1
OEAV177211	EPI_ISL_455403	2020-03-02	China	B
OEAV000118	EPI_ISL_412974	2020-01-29	Italy	B
OEAV142599	EPI_ISL_415588	2020-03-05	Canada	A
OEAV155669	EPI_ISL_428826	2020-03-17	Singapore	B.6
OEAV188701	EPI_ISL_467924	2020-03-13	USA	B.1
OEAV173531	EPI_ISL_451934	2020-03-05	Croatia	B.1.1.1
OEAV156106	EPI_ISL_429213	2020-03-16	Switzerland	B.1.1
OEAV142942	EPI_ISL_416339	2020-02-03	China	B
OEAV145294	EPI_ISL_420645	2020-03-13	United Kingdom	B.1
OEAV152582	EPI_ISL_436080	2020-03-18	USA	B.1
OEAV176959	EPI_ISL_455348	2020-03-14	Spain	B.1
OEAV146917	EPI_ISL_417535	2020-03-13	Iceland	B.1
OEAV194677	EPI_ISL_475560	2020-03-10	Sweden	B.1.1
OEAV144312	EPI_ISL_420464	2020-03-12	United Kingdom	B.1.1
OEAV147580	EPI_ISL_420565	2020-03-19	Italy	B.1.1
OEAV201665	EPI_ISL_481376	2020-02-20	South Korea	B.41
OEAV188679	EPI_ISL_467902	2020-03-13	USA	B.1
OEAV237334	EPI_ISL_510529	2020-03-16	Zambia	B.1.1
OEAV192289	EPI_ISL_475919	2020-03-11	Austria	B
OEAV142780	EPI_ISL_416595	2020-02-16	Japan	B
OEAV146860	EPI_ISL_421222	2020-03-14	China	B
OEAV186070	EPI_ISL_465731	2020-03-15	United Kingdom	B.40
OEAV143277	EPI_ISL_415478	2020-03-08	Netherlands	B.40
OEAV188290	EPI_ISL_466953	2020-03-10	Switzerland	B.1
OEAV224940	EPI_ISL_496670	2020-03-13	Panama	A.2
OEAV144035	EPI_ISL_418820	2020-03-09	Canada	A.1
OEAV185628	EPI_ISL_464733	2020-03-10	United Kingdom	B.29
OEAV143617	EPI_ISL_419761	2020-03-11	Australia	B.6
OEAV152378	EPI_ISL_427615	2020-03-16	USA	B
OEAV193811	EPI_ISL_474999	2020-03-15	Israel	B.1.1
OEAV147777	EPI_ISL_422650	2020-03-18	Netherlands	B.1
OEAV148304	EPI_ISL_425664	2020-03-14	United Kingdom	B.10
OEAV149565	EPI_ISL_426040	2020-03-05	USA	B.1
OEAV179811	EPI_ISL_459862	2020-03-17	Chile	B.1
OEAV149903	EPI_ISL_422964	2020-03-16	USA	A.1
OEAV148174	EPI_ISL_420150	2020-03-09	Norway	B.1
OEAV153298	EPI_ISL_429502	2020-03-10	Denmark	B.1
OEAV146415	EPI_ISL_418294	2020-03-18	United Kingdom	B.40
OEAV000135	EPI_ISL_407193	2020-01-25	South Korea	A
OEAV150315	EPI_ISL_418918	2020-03-13	USA	B.1
OEAV148836	EPI_ISL_425181	2020-03-10	Spain	A.2
OEAV185808	EPI_ISL_464913	2020-03-12	United Kingdom	B.1
OEAV149071	EPI_ISL_426071	2020-03-29	USA	B.1
OEAV143812	EPI_ISL_418795	2020-03-06	Belgium	B.1
OEAV148312	EPI_ISL_425672	2020-03-11	United Kingdom	B.1.1
OEAV186034	EPI_ISL_465139	2020-03-16	United Kingdom	B.1.1
OEAV236702	EPI_ISL_511269	2020-03-17	Portugal	B.1.1
OEAV149936	EPI_ISL_423025	2020-03-18	USA	A.1
OEAV148470	EPI_ISL_425830	2020-03-12	United Kingdom	B.1
OEAV175582	EPI_ISL_452785	2020-03-06	Spain	A.2
OEAV188689	EPI_ISL_467912	2020-03-13	USA	B.1
OEAV167032	EPI_ISL_444786	2020-03-17	USA	B.37
OEAV148476	EPI_ISL_425836	2020-03-11	United Kingdom	B.1.1
OEAV177466	EPI_ISL_455879	2020-03-07	Sweden	B.1.1
OEAV206069	EPI_ISL_488750	2020-03-16	United Kingdom	B.1
OEAV160092	EPI_ISL_437610	2020-03-12	Thailand	B.1
OEAV176640	EPI_ISL_455456	2020-03-12	Mexico	A.5
OEAV143246	EPI_ISL_415991	2020-03-09	United Kingdom	B.1.1.1
OEAV150311	EPI_ISL_418912	2020-03-16	USA	A.1
OEAV150381	EPI_ISL_417517	2020-03-13	USA	B.1.37
OEAV159144	EPI_ISL_437138	2020-03-16	USA	B.1
OEAV153124	EPI_ISL_429328	2020-03-15	Denmark	B.49
OEAV149203	EPI_ISL_421724	2020-03-18	USA	B.1.1
OEAV154551	EPI_ISL_429093	2020-02-08	China	A
OEAV164534	EPI_ISL_440480	2020-03-12	United Kingdom	B
OEAV143446	EPI_ISL_419872	2020-03-18	Australia	B.1
OEAV185198	EPI_ISL_464303	2020-02-03	United Kingdom	B.1
OEAV146727	EPI_ISL_420048	2020-03-18	France	B.1.356
OEAV191746	EPI_ISL_471448	2020-02-19	South Korea	B
OEAV148075	EPI_ISL_422894	2020-03-10	Netherlands	B.11
OEAV164555	EPI_ISL_440466	2020-03-13	United Kingdom	B.61
OEAV185726	EPI_ISL_464831	2020-03-10	United Kingdom	B.40
OEAV159954	EPI_ISL_437877	2020-03-12	Greece	B.1
OEAV147656	EPI_ISL_421746	2020-03-17	Luxembourg	B.1
OEAV149296	EPI_ISL_420309	2020-03-19	USA	B.1.1
OEAV167554	EPI_ISL_447653	2020-03-11	Greece	B.1.1
OEAV000200	EPI_ISL_413024	2020-02-29	Switzerland	B.1.1
OEAV157113	EPI_ISL_434735	2020-03-13	USA	B.1
OEAV143818	EPI_ISL_420336	2020-03-06	Belgium	B.1.1
OEAV154494	EPI_ISL_428441	2020-01-29	China	B
OEAV224906	EPI_ISL_496636	2020-03-13	Panama	A.2
OEAV146239	EPI_ISL_425478	2020-03-15	United Kingdom	B.39
OEAV150545	EPI_ISL_418127	2020-03-15	United Kingdom	B.3.1
OEAV143829	EPI_ISL_420452	2020-03-09	Belgium	B.1
OEAV149168	EPI_ISL_419395	2020-03-14	USA	B.1
OEAV177434	EPI_ISL_455845	2020-03-08	Sweden	B.1
OEAV142752	EPI_ISL_416567	2020-02-15	Japan	B
OEAV000058	EPI_ISL_411220	2020-01-28	France	B
OEAV187684	EPI_ISL_464207	2020-02-28	United Kingdom	B.1.1
OEAV148313	EPI_ISL_425673	2020-03-15	United Kingdom	B
OEAV172334	EPI_ISL_450405	2020-03-08	Hong Kong	B.43
OEAV157499	EPI_ISL_430184	2020-03-14	USA	A.1
OEAV144241	EPI_ISL_417258	2020-03-06	United Kingdom	B.1.1.10
OEAV162046	EPI_ISL_440370	2020-03-18	United Kingdom	B.28
OEAV159433	EPI_ISL_437255	2020-03-19	Germany	B.1
OEAV189578	EPI_ISL_469247	2020-03-15	Saudi Arabia	B.1.1
OEAV187668	EPI_ISL_464191	2020-02-26	United Kingdom	B
OEAV161979	EPI_ISL_440391	2020-03-17	United Kingdom	B.1.356
OEAV152900	EPI_ISL_430734	2020-01-24	China	B
OEAV199573	EPI_ISL_479832	2020-03-02	Japan	B.12
OEAV142726	EPI_ISL_414692	2020-02-25	China	B
OEAV176469	EPI_ISL_454691	2020-03-12	USA	B.1
OEAV151218	EPI_ISL_426362	2020-03-10	Mexico	A.2
OEAV173999	EPI_ISL_452119	2020-03-17	U.S. Virgin Islands	B.1
OEAV152133	EPI_ISL_426505	2020-03-17	USA	B.1
OEAV185251	EPI_ISL_464356	2020-03-03	United Kingdom	B.1.1
OEAV142569	EPI_ISL_417022	2020-03-15	Belgium	B.1.1
OEAV188614	EPI_ISL_467838	2020-03-15	USA	B.6
OEAV185938	EPI_ISL_465043	2020-03-14	United Kingdom	B.1
OEAV000472	EPI_ISL_414022	2020-02-27	Switzerland	B.1.1
OEAV178763	EPI_ISL_457749	2020-02-27	Italy	B.1
OEAV177083	EPI_ISL_455363	2020-03-02	China	B
OEAV142509	EPI_ISL_414616	2020-03-08	USA	B.1.371
OEAV148745	EPI_ISL_418246	2020-03-01	Spain	B
OEAV147510	EPI_ISL_417730	2020-03-10	Iceland	B.1
OEAV149893	EPI_ISL_422970	2020-03-17	USA	B.1.371
OEAV149147	EPI_ISL_417479	2020-03-12	USA	B.1
OEAV208991	EPI_ISL_491450	2020-03-18	Costa Rica	B.1.324
OEAV149192	EPI_ISL_421712	2020-03-18	USA	B.1.1
OEAV142787	EPI_ISL_416602	2020-02-16	Japan	B.5
OEAV150209	EPI_ISL_417382	2020-03-15	USA	B.1.371
OEAV148914	EPI_ISL_417524	2020-03-14	Taiwan	B.4
OEAV235832	EPI_ISL_510149	2020-03-17	Spain	B.1
OEAV171724	EPI_ISL_450019	2020-03-18	USA	B.1.332
OEAV143631	EPI_ISL_419777	2020-03-12	Australia	A
OEAV147731	EPI_ISL_417918	2020-03-18	Malaysia	B.6.6
OEAV185769	EPI_ISL_464874	2020-03-12	United Kingdom	B.1.76
OEAV238697	EPI_ISL_512859	2020-03-18	Thailand	A.6
OEAV153102	EPI_ISL_429305	2020-03-17	Denmark	B.1.428
OEAV197422	EPI_ISL_477689	2020-03-19	USA	B.1.371
OEAV224823	EPI_ISL_498004	2020-03-09	South Korea	A
